Entry,Film,Director,Leading actors,Year of cinema release,No of Oscars won,IMDB link,Country,Category
1,Brief Encounter,David Lean ,"Celia Johnson, Cyril Raymond, Stanley Holloway, Trevor Howard",1945,,http://www.imdb.com/title/tt0037558/,UK,Romance
2,Casablanca,Michael Curtiz,"Claude Rains, Humphrey Bogart, Ingrid Bergman, Paul Henreid",1942,3,http://www.imdb.com/title/tt0034583/,USA,Romance
3,Before Sunrise,Richard Linklater,Ethan Hawke and Julie Delpy,1995,,http://www.imdb.com/title/tt0112471/,USA,Romance
4,Before Sunset,Richard Linklater,Ethan Hawke and Julie Delpy,2004,,http://www.imdb.com/title/tt0381681/awards,USA,Romance
5,Breathless,Jean-Luc Godard,"Jean Seberg, Jean-Paul Belmondo",1960,,http://www.imdb.com/title/tt0053472/,France,Romance
6,In the Mood for Love,Kar Wai Wong,"Maggie Cheung Man-Yuk, Rebecca Pan, Tony Leung Chiu-Wai",2000,,http://www.imdb.com/title/tt0118694/,Hong Kong,Romance
7,The Apartment,Billy Wilder,"Fred MacMurray, Jack Lemmon, Ray Walston, Shirley MacLaine",1960,,http://www.imdb.com/title/tt0053604/,USA,Romance
8,Hannah & Her Sisters,Woody Allen ,"Barbara Hershey, Carrie Fisher, Dianne Wiest, Julie Kavner, Mia Farrow, Michael Caine, Woody Allen",1986,3,http://www.imdb.com/title/tt0091167/,USA,Romance
9,Eternal Sunshine of the Spotless Mind,Michel Gondry,"Elijah Wood, Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Tom Wilkinson",2004,1,http://www.imdb.com/title/tt0338013/,USA,Romance
10,Room With a View,James Ivory,"Helena Bonham Carter, Julian Sands, Maggie Smith",1985,3,http://www.imdb.com/title/tt0091867/,UK,Romance
11,Jules et Jim,Franí_ois Truffaut,"Henri Serre, Jeanne Moreau, Oscar Werner, Oskar Werner",1962,,http://www.imdb.com/title/tt0055032/,France,Romance
12,All That Heaven Allows,Douglas Sirk,"Jane Wyman, Rock Hudson",1955,,http://www.imdb.com/title/tt0047811/,USA,Romance
13,Gone with the Wind,Victor Fleming,"Anne Rutherford, Clark Gable, Hattie McDaniel, Leslie Howard, Olivia De Havilland, Vivien Leigh",1939,8,http://www.imdb.com/title/tt0031381/,USA,Romance
14,An Affair to Remember,Leo McCarey,"Cary Grant, Deborah Kerr, Richard Denning",1957,,http://www.imdb.com/title/tt0050105/,USA,Romance
15,Umbrellas of Cherbourg,Jaques Demy ,"Anne Vernon, Catherine Deneuve, Nino Castelnuovo",1964,,http://www.imdb.com/title/tt0058450/,France,Romance
16,Lost in Translation,Sofia Coppola,"Bill Murray, Giovanni Ribisi, Scarlett Johansson",2003,1,http://www.imdb.com/title/tt0335266/,USA,Romance
17,Roman Holiday,William Wyler,"Audrey Hepburn, Gregory Peck",1953,3,http://www.imdb.com/title/tt0046250/,USA,Romance
18,Wall-E,Andrew Stanton,"Ben Burtt, Fred Willard, Jeff Garlin, Kathy Najimy, Sigourney Weaver",2008,1,http://www.imdb.com/title/tt0910970/,USA,Romance
19,My Night With Maud,Eric Rohmer," Francoise Fabian, Jean-Louis Trintignant",1969,,http://www.imdb.com/title/tt0064612/,France,Romance
20,Voyage to Italy,Roberto Rossellini,Ingrid Bergman,1954,,http://www.imdb.com/title/tt0046511/,Italy,Romance
21,Dr Zhivago,David Lean,"Geraldine Chaplin, Julie Christie, Omar Sharif",1965,5,http://www.imdb.com/title/tt0059113/,USA,Romance
22,Harold & Maude,Hal Ashby,"Bud Cort, Cyril Cusack, Ruth Gordon, Vivian Pickles",1971,,http://www.imdb.com/title/tt0067185/,USA,Romance
23,When Harry Met Sally,Rob Reiner,"Billy Crystal, Bruno Kirby, Carrie Fisher, Meg Ryan",1989,,http://www.imdb.com/title/tt0098635/,USA,Romance
24,Say Anything....,Cameron crowe,"John Cusack, Ione Skye, John Mahoney",1989,,http://www.imdb.com/title/tt0098258/,USA,Romance
25,Fabulous Baker Boys,Steve Kloves,"Beau Bridges, Jeff Bridges, Michelle Pfeiffer",1989,,http://www.imdb.com/title/tt0097322/,USA,Romance
26,A Matter of Life & Death," Emeric Pressburger, Michael Powell"," David Niven, Kim Hunter, Raymond Massey, Richard Attenborough, Roger Livesey",1946,,http://www.imdb.com/title/tt0038733/,UK,Romance
27,Chinatown,Roman Polanski,"Faye Dunaway, Jack Nicholson, John Huston",1974,1,http://www.imdb.com/title/tt0071315/,USA,Crime
28,Touch of Evil,Orson Welles,"Charlton Heston, Janet Leigh, Marlene Dietrich, Orson Welles, Zsa Zsa Gabor",1958,,http://www.imdb.com/title/tt0052311/,USA,Crime
29,Vertigo,Alfred Hitchcock,"Barbara Bel Geddes, James Stewart, Kim Novak",1958,,http://www.imdb.com/title/tt0052357/,USA,Crime
30,Badlands,Terrence Malik,"Alan Vint, Martin Sheen, Ramon Bieri, Sissy Spacek, Warren Oates",1973,,http://www.imdb.com/title/tt0069762/,USA,Crime
31,Rashomon,Akira Kurosawa,"Machiko Kyo, Masayuki Mori, Toshiro Mifune",1950,,http://www.imdb.com/title/tt0042876/,Japan,Crime
32,Double Indemnity,Billy Wilder,"Porter Hall, Jean Heather, Byron Barr, Richard Gaines, John Philliber, Edward G.
Robinson, Fred MacMurray and Barbara Stanwyck",1944,,http://www.imdb.com/title/tt0036775/,USA,Crime
33,Get Carter,Mike Hodges,"Brian Mosley, Britt Ekland, Geraldine Moffatt, John Osborne, Michael Caine",1971,,http://www.imdb.com/title/tt0067128/,UK,Crime
34,Pulp Fiction,Quentin Tarantino,"Amanda Plummer, Bruce Willis, Eric Stoltz, Harvey Keitel, John Travolta, Rosanna Arquette, Samuel L Jackson, Steve Buscemi, Tim Roth, Uma Thurman",1994,1,http://www.imdb.com/title/tt0110912/,USA,Crime
35,Hidden,Michael Haneke,"Annie Girardot, Daniel Auteuil, Juliette Binoche, Maurice Benichou",2005,,http://www.imdb.com/title/tt0387898/,France,Crime
36,Goodfellas,Martin Scorsese,"Frank Vincent, Joe Pesci, Lorraine Bracco, Ray Liotta, Robert De Niro",1990,1,http://www.imdb.com/title/tt0099685/,USA,Crime
37,The Conversation,"Francis Coppola, Francis Ford Coppola","Allen Garfield, Gene Hackman, John Cazale",1974,,http://www.imdb.com/title/tt0071360/,USA,Crime
38,Bonnie & Clyde,Arthur Penn,"Faye Dunaway, Gene Hackman, Michael J Pollard, Warren Beatty",1967,2,http://www.imdb.com/title/tt0061418/,USA,Crime
39,The Killing,Stanley Kubrick,"Coleen Gray, Elisha Cook Junior, Jay C Flippen, Sterling Hayden, Vince Edwards",1956,,http://www.imdb.com/title/tt0049406/,USA,Crime
40,French Connection,William Friedkin,"Fernando Rey, Gene Hackman, Roy Schieder, Tony Lo Bianco",1971,5,http://www.imdb.com/title/tt0067116/,USA,Crime
41,The Big Sleep,Howard Hawkes,"Bob Steele, Elisha Cook Jr, Elisha Cook Jr., Humphrey Bogart, Lauren Bacall",1946,,http://www.imdb.com/title/tt0038355/,USA,Crime
42,La Ceremonie,Claude Chabrol,"Isabelle Huppert, Jacqueline Bisset, Sandrine Bonnaire",1995,,http://www.imdb.com/title/tt0112769/,France,Crime
43,Point Blank,John Boorman,"Angie Dickinson, Keenan Wynn, Lee Marvin",1967,,http://www.imdb.com/title/tt0062138/,USA,Crime
44,Hard Boiled,John Woo,"Chow Yun Fat, Tony Leung",1992,,http://www.imdb.com/title/tt0104684/,Hong Kong,Crime
45,Long Good Friday,John McKenzie,"Bob Hoskins, Bryan Marshall, Dave King, Helen Mirren",1980,,http://www.imdb.com/title/tt0081070/,UK,Crime
46,A Prophet,Jacques Audiard,"Adel Bencherif, Niels Arestrup, Tahar Rahim, Tahar Ramin",2009,,http://www.imdb.com/title/tt1235166/,France,Crime
47,Heat,Michael Mann,"Al Pacino, Ashley Judd, Jon Voight, Robert De Niro, Tom Sizemore, Val Kilmer",1995,,http://www.imdb.com/title/tt0113277/,USA,Crime
